pid,date,cpu,mem
343,17:09:13,0,0.6
6126,17:09:13,0,4.1
6216,17:09:13,0,0.2
6002,17:09:13,1,3
6350,17:09:13,0,0.2
6211,17:09:13,0,0.1
582,17:09:13,0,0
6401,17:09:13,2.2,3.2
6273,17:09:13,3.8,0.9
6007,17:09:13,0,1
6181,17:09:13,0,0.8
6026,17:09:13,0,0.4
249,17:09:14,2.7,4
395,17:09:14,0.4,1.1
141,17:09:14,11.4,1.1
6043,17:09:14,1.1,3.4
6020,17:09:14,0,1.6
6338,17:09:14,0,0.9
172,17:09:14,0,1.2
406,17:09:14,0,0.3
343,17:09:14,0,0.6
6126,17:09:14,0,4.1
6216,17:09:14,0,0.2
6002,17:09:14,0.6,3
6350,17:09:14,0,0.2
6211,17:09:14,0,0.1
582,17:09:14,0,0
6401,17:09:14,2.2,3.2
6273,17:09:14,16.2,1
6007,17:09:14,0,1
6181,17:09:14,0,0.8
6026,17:09:14,0,0.4
249,17:09:15,13.2,4
395,17:09:15,0.3,1.1
141,17:09:15,4.8,1.2
6043,17:09:15,0.4,3.4
6020,17:09:15,0,1.6
6338,17:09:15,0,0.9
172,17:09:15,0.3,1.2
406,17:09:15,0.2,0.3
343,17:09:15,0,0.6
6126,17:09:15,0,4.1
6216,17:09:15,0,0.2
6002,17:09:15,0.5,3
6350,17:09:15,0,0.2
6211,17:09:15,0,0.1
582,17:09:15,0,0
6401,17:09:15,1.5,3.2
6273,17:09:15,4.5,1
6007,17:09:15,0,1
6181,17:09:15,0,0.8
6026,17:09:15,0,0.4
249,17:09:16,1.4,4
395,17:09:16,0.2,1.1
141,17:09:16,7.8,1.2
6043,17:09:16,0.5,3.4
6020,17:09:16,0,1.6
6338,17:09:16,0,0.9
172,17:09:16,0.4,1.2
406,17:09:16,0,0.3
343,17:09:16,0,0.6
6126,17:09:16,0,4.1
6216,17:09:16,0,0.2
6002,17:09:16,0.5,3
6350,17:09:16,0,0.2
6211,17:09:16,0,0.1
582,17:09:16,0,0
6401,17:09:16,2.3,3.2
6273,17:09:16,8.6,1
6007,17:09:16,0,1
6181,17:09:16,0,0.8
6026,17:09:16,0,0.4
249,17:09:17,0,4
395,17:09:17,0,1.1
141,17:09:17,6.1,1.2
6043,17:09:17,0.4,3.4
6020,17:09:17,0,1.6
6338,17:09:17,0,0.9
172,17:09:17,0,1.2
406,17:09:17,0,0.3
343,17:09:17,0,0.6
6126,17:09:17,0,4.1
6216,17:09:17,0,0.2
6002,17:09:17,0.1,3
6350,17:09:17,0,0.2
6211,17:09:17,0,0.1
582,17:09:17,0,0
6401,17:09:17,1.2,3.2
6273,17:09:17,6.5,1
6007,17:09:17,0,1
6181,17:09:17,0,0.8
6026,17:09:17,0,0.4
249,17:09:18,0,4
395,17:09:18,0,1.1
141,17:09:18,7.2,1.2
6043,17:09:18,0.3,3.4
6020,17:09:18,0,1.6
6338,17:09:18,0,0.9
172,17:09:18,0,1.2
406,17:09:18,0,0.3
343,17:09:18,0,0.6
6126,17:09:18,0,4.1
6216,17:09:18,0,0.2
6002,17:09:18,0.3,3
6350,17:09:18,0,0.2
6211,17:09:18,0,0.1
582,17:09:18,0,0
6401,17:09:18,1,3.2
6273,17:09:18,8.2,1
6007,17:09:18,0,1
6181,17:09:18,0,0.8
6026,17:09:18,0,0.4
249,17:09:19,0,4
395,17:09:19,0.2,1.1
141,17:09:19,15.5,1.2
6043,17:09:19,1,3.4
6020,17:09:19,0,1.6
6338,17:09:19,0,0.9
172,17:09:19,0,1.2
406,17:09:19,0,0.3
343,17:09:19,0,0.6
6126,17:09:19,0.1,4.1
6216,17:09:19,0,0.2
6002,17:09:19,0.1,3
6350,17:09:19,0,0.2
6211,17:09:19,0,0.1
582,17:09:19,0,0
6401,17:09:19,1,2.9
6273,17:09:19,23.9,1
6007,17:09:19,0,1
6181,17:09:19,0,0.8
6026,17:09:19,0,0.4
249,17:09:20,0,4
395,17:09:20,0.6,1.1
141,17:09:20,10.1,1.2
6043,17:09:20,0.3,3.4
6020,17:09:20,0,1.6
6338,17:09:20,0,0.9
172,17:09:20,0,1.2
406,17:09:20,0.1,0.3
343,17:09:20,0,0.6
6126,17:09:20,0.1,4.1
6216,17:09:20,0,0.2
6002,17:09:20,0.4,3
6350,17:09:20,0,0.2
6211,17:09:20,0,0.1
582,17:09:20,0,0
6401,17:09:20,1.2,2.9
6273,17:09:20,10.8,1
6007,17:09:20,0,1
6181,17:09:20,0,0.8
6026,17:09:20,0,0.4
249,17:09:21,0,4
395,17:09:21,0,1.1
141,17:09:21,2.7,1.2
6043,17:09:21,0.3,3.4
6020,17:09:21,0,1.6
6338,17:09:21,0,0.9
172,17:09:21,0.2,1.2
406,17:09:21,0,0.3
343,17:09:21,0,0.6
6126,17:09:21,0.1,4.1
6216,17:09:21,0,0.2
6002,17:09:21,0.8,3
6350,17:09:21,0,0.2
6211,17:09:21,0,0.1
582,17:09:21,0,0
6401,17:09:21,0.8,2.9
6273,17:09:21,3,1
6007,17:09:21,0,1
6181,17:09:21,0,0.8
6026,17:09:21,0,0.4
249,17:09:22,0.2,4
395,17:09:22,0.2,1.1
141,17:09:22,1.1,1.2
6043,17:09:22,1.1,3.4
6020,17:09:22,0,1.6
6338,17:09:22,0,0.9
172,17:09:22,0,1.2
406,17:09:22,0,0.3
343,17:09:22,0,0.6
6126,17:09:22,0,4.1
6216,17:09:22,0,0.2
6002,17:09:22,0.2,3
6350,17:09:22,0,0.2
6211,17:09:22,0,0.1
582,17:09:22,0,0
6401,17:09:22,1.8,2.9
6273,17:09:22,0.1,1
6007,17:09:22,0,1
6181,17:09:22,0,0.8
6026,17:09:22,0,0.4
249,17:09:23,0,4
395,17:09:23,0.1,1.1
141,17:09:23,9,1.2
6043,17:09:23,1.1,3.4
6020,17:09:23,0,1.6
6338,17:09:23,0,0.9
172,17:09:23,0,1.2
406,17:09:23,0,0.3
343,17:09:23,0,0.6
6126,17:09:23,0.1,4.1
6216,17:09:23,0,0.2
6002,17:09:23,4.3,3
6350,17:09:23,0,0.2
6211,17:09:23,0,0.1
582,17:09:23,0,0
6401,17:09:23,0.7,2.9
6273,17:09:23,19.7,1
6007,17:09:23,0.1,1
6181,17:09:23,0,0.8
