pid,time,cpu
8914,18:32:18,0
6007,18:32:18,0
8987,18:32:18,0
141,18:32:19,4.2
249,18:32:19,18.2
395,18:32:19,0.8
9158,18:32:19,0
8978,18:32:19,3
6043,18:32:19,11.4
6020,18:32:19,0
6338,18:32:19,0
172,18:32:19,0.2
406,18:32:19,0
343,18:32:19,0
6002,18:32:19,0
8945,18:32:19,0
6350,18:32:19,0
6211,18:32:19,0
582,18:32:19,0
8988,18:32:19,0.1
8914,18:32:19,0
6007,18:32:19,0
8987,18:32:19,0
141,18:32:20,6.5
249,18:32:20,11.3
395,18:32:20,0.1
9158,18:32:20,0
8978,18:32:20,0
6043,18:32:20,10.1
6020,18:32:20,0
6338,18:32:20,0
172,18:32:20,0
406,18:32:20,0
343,18:32:20,0
6002,18:32:20,0.1
8945,18:32:20,0
6350,18:32:20,0
6211,18:32:20,0
582,18:32:20,0
8988,18:32:20,0.3
8914,18:32:20,0
6007,18:32:20,0
8987,18:32:20,0
141,18:32:21,18.8
249,18:32:21,8.1
395,18:32:21,38.3
9158,18:32:21,21.5
8978,18:32:21,0
6043,18:32:21,8.7
6020,18:32:21,0
6338,18:32:21,0
172,18:32:21,0.1
406,18:32:21,0
343,18:32:21,0.1
6002,18:32:21,0.4
8945,18:32:21,0
6350,18:32:21,0
6211,18:32:21,0
582,18:32:21,0
8988,18:32:21,0.3
6007,18:32:21,0.3
8914,18:32:21,0
8987,18:32:21,0
141,18:32:22,8.8
249,18:32:22,3.3
395,18:32:22,1
9158,18:32:22,3.1
8978,18:32:22,76.4
6043,18:32:22,1
6020,18:32:22,0
6338,18:32:22,0
172,18:32:22,0
406,18:32:22,0
343,18:32:22,0
6002,18:32:22,0.2
8945,18:32:22,0
6350,18:32:22,0
6211,18:32:22,0
582,18:32:22,0
8988,18:32:22,0.3
6007,18:32:22,0
8914,18:32:22,0
8987,18:32:22,0
141,18:32:23,2.2
249,18:32:23,0.1
395,18:32:23,0.4
9158,18:32:23,2.9
8978,18:32:23,79.4
6043,18:32:23,0.6
6020,18:32:23,0
6338,18:32:23,0
172,18:32:23,0
406,18:32:23,0
343,18:32:23,0
6002,18:32:23,0
8945,18:32:23,0
6350,18:32:23,0
6211,18:32:23,0
582,18:32:23,0
8988,18:32:23,0.1
6007,18:32:23,0
8914,18:32:23,0
8987,18:32:23,0
141,18:32:24,18.3
249,18:32:24,0
395,18:32:24,3
9158,18:32:24,6.7
8978,18:32:24,4.5
6043,18:32:24,4.4
6020,18:32:24,0
6338,18:32:24,0
172,18:32:24,0
406,18:32:24,0.7
343,18:32:24,0.3
6002,18:32:24,0.6
8945,18:32:24,0
